"id","text"
1,"😂😂😂😂this celebration means we are going for the trophy"
2,"anything to stop madrid"
3,"🤡"
4,"They’re not allowed to celebrate anymore 😂 it’s okay we did it a ton of time"
5,"Nothing can stop Madrid now. 😂"
6,"they even changed ucl format to try and stop us 😂"
7,"What about Argentina vs Netherlands😂"
8,"An investigation into UEFA needs to be open"
9,"Everything to stop us"
10,"Apparently “their findings are to be published next Tuesday. Check the date."
11,"Football is not what it used to be, sadly. Like we can’t even celebrate without people getting butt hurt. So damn sensitive"
12,"This is hilarious. Atletico fans were throwing bottles and spitting on Real Madrid players but no one will deal with this 🤡"
13,"They lost so, now they are trying to give us a disadvantage but madrid lives off this pressure 🔥"
14,"Valverde got away with it 🤣🤣🤣"
